geonameId,cityName,countryName,countryCode,latitudeDegrees,longitudeDegrees,timezoneId,population,featureCode,searchNames
1148658,Andkhoy,Afghanistan,AF,36.95293,65.12376,Asia/Kabul,37900,PPLA2,Андхой
1148311,Asadābād,Afghanistan,AF,34.87311,71.14697,Asia/Kabul,48400,PPLA,Асадабад
1127768,Aībak,Afghanistan,AF,36.26468,68.01551,Asia/Kabul,47823,PPLA,Айбак|Aybak
1147540,Baghlān,Afghanistan,AF,36.13068,68.70829,Asia/Kabul,108449,PPLA2,Баглан|Baglan
1147489,Bahārak,Afghanistan,AF,37.00254,70.90664,Asia/Kabul,32551,PPLA2,Бахарак
1147290,Balkh,Afghanistan,AF,36.75635,66.8972,Asia/Kabul,114883,PPLA2,Вазирабад|Балх|Balch|Balj
1147066,Baraki Barak,Afghanistan,AF,33.96744,68.9492,Asia/Kabul,22305,PPLA2,Баракибарак
1147242,Bāmyān,Afghanistan,AF,34.82156,67.82734,Asia/Kabul,61863,PPLA,Бамиан|Bamiyan
1121381,Bāzār-e Yakāwlang,Afghanistan,AF,34.73525,66.97379,Asia/Kabul,65000,PPLW,
1429434,Bāzārak,Afghanistan,AF,35.31292,69.51519,Asia/Kabul,65000,PPLA,Базарак
1145352,Charikar,Afghanistan,AF,35.01361,69.17139,Asia/Kabul,53676,PPLA,Чарикар|Tscharikar|Tcharikar
1142404,Eslam Qaleh,Afghanistan,AF,34.66667,61.06667,Asia/Kabul,18086,PPL,
1142264,Farah,Afghanistan,AF,32.37451,62.11638,Asia/Kabul,43561,PPLA,Фарах
1142170,Fayzabad,Afghanistan,AF,37.11664,70.58002,Asia/Kabul,44421,PPLA,Файзабад
1141857,Gardez,Afghanistan,AF,33.59744,69.22592,Asia/Kabul,103601,PPLA,Гардез|Gardiz
1141540,Gereshk,Afghanistan,AF,31.82089,64.57005,Asia/Kabul,43588,PPLA2,Герешк
1141269,Ghazni,Afghanistan,AF,33.55391,68.42096,Asia/Kabul,141000,PPLA,Газни|Gazni
1141089,Ghormach,Afghanistan,AF,35.73062,63.78264,Asia/Kabul,30000,PPLA2,Гормач
1140026,Herāt,Afghanistan,AF,34.34817,62.19967,Asia/Kabul,574300,PPLA,Герат
1142330,Istālif,Afghanistan,AF,34.83268,69.07756,Asia/Kabul,41413,PPLA2,Исталиф
1139807,Jabal os Saraj,Afghanistan,AF,35.11833,69.23778,Asia/Kabul,15032,PPLA2,Dzhabal’-Ussaradzh|Jabal Saraj|Jabul Saraj
1139715,Jalālābād,Afghanistan,AF,34.42647,70.45153,Asia/Kabul,271900,PPLA,Dschalalabad|Джелалабад
1139085,Jurm,Afghanistan,AF,36.86477,70.83421,Asia/Kabul,23064,PPLA2,Журм
1138958,Kabul,Afghanistan,AF,34.52813,69.17233,Asia/Kabul,4434550,PPLC,Kaboul|Cabul|Кабул
1138336,Kandahār,Afghanistan,AF,31.61332,65.71013,Asia/Kabul,523300,PPLA,Кандагар
1137807,Karukh,Afghanistan,AF,34.48108,62.5863,Asia/Kabul,17484,PPLA2,Карух
1137168,Khanabad,Afghanistan,AF,36.68304,69.11279,Asia/Kabul,71531,PPLA2,Ханабад
1136575,Khulm,Afghanistan,AF,36.69736,67.69826,Asia/Kabul,64933,PPLA2,Ташкурган
1137079,Khān Neshīn,Afghanistan,AF,30.5488,63.7888,Asia/Kabul,25600,PPLA2,Khanashin|Хан-Нешин
1136863,Khāsh,Afghanistan,AF,31.52919,62.79055,Asia/Kabul,15133,PPL,
1136469,Khōst,Afghanistan,AF,33.33951,69.92041,Asia/Kabul,96123,PPLA,Хост
1135689,Kunduz,Afghanistan,AF,36.72895,68.857,Asia/Kabul,161902,PPLA,Кундуз|Kundus|Konduz|Qunduz|Kondôz
1135158,Kushk,Afghanistan,AF,33.29565,61.95221,Asia/Kabul,16952,PPL,Кушк
1134720,Lashkar Gāh,Afghanistan,AF,31.59382,64.37161,Asia/Kabul,43934,PPLA,Лашкаргах|Lachkargah|Lashkargah
1469706,Markaz-e Woluswalī-ye Āchīn,Afghanistan,AF,34.12583,70.70778,Asia/Kabul,15098,PPL,
1133453,Maymana,Afghanistan,AF,35.92139,64.78361,Asia/Kabul,75900,PPLA,Меймене|Maymanah|Maïmana|Meymaneh
1133616,Mazār-e Sharīf,Afghanistan,AF,36.70904,67.11087,Asia/Kabul,523300,PPLA,Мазари-Шариф|Mazari Sharif|Mazār-e Šarīf|Masar-e Scharif|Mazar-e Charif
1133574,Mehtar Lām,Afghanistan,AF,34.67139,70.20944,Asia/Kabul,17345,PPLA,Митарлам
1132495,Nahrīn,Afghanistan,AF,36.0649,69.13343,Asia/Kabul,22363,PPLA2,Нахрин
1131833,Nīlī,Afghanistan,AF,33.72178,66.13023,Asia/Kabul,30058,PPLA,Нили
1131316,Paghmān,Afghanistan,AF,34.58787,68.95091,Asia/Kabul,49157,PPL,Пагман
1130490,Pul-e Khumrī,Afghanistan,AF,35.94458,68.71512,Asia/Kabul,56369,PPLA,Пули-Хумри|Poul-e Khoumri
1129516,Qarqīn,Afghanistan,AF,37.41853,66.04358,Asia/Kabul,15018,PPLA2,Кханика
1129648,Qarāwul,Afghanistan,AF,37.21959,68.7802,Asia/Kabul,24544,PPL,
1128265,Rustāq,Afghanistan,AF,37.12604,69.83045,Asia/Kabul,25636,PPLA2,Рустак
1127628,Sang-e Chārak,Afghanistan,AF,35.84972,66.43694,Asia/Kabul,15377,PPL,Сангчарак
1127110,Sar-e Pul,Afghanistan,AF,36.21544,65.93249,Asia/Kabul,52121,PPLA,Сари-Пуль|Sar-e Poul
1125896,Shahrak,Afghanistan,AF,34.10737,64.3052,Asia/Kabul,15967,PPLA2,Шахрак
1125444,Shibirghān,Afghanistan,AF,36.66757,65.7529,Asia/Kabul,55641,PPLA,Шеберган|Shibirgán|Chibirchan|Schibirgan
1125155,Shīnḏanḏ,Afghanistan,AF,33.30294,62.1474,Asia/Kabul,29264,PPLA2,Шинданд
